name,domain,country
Tulane University,tulane.edu,us
Charité Universitätsmedizin Berlin,charite.de,de
Universitat Pompeu Fabra,upf.edu,es
Universidade Federal do Rio Grande do Sul UFRGS,ufrgs.br,br
Tokyo Institute of Technology / 東京工業大学,titech.ac.jp,jp
University at Albany,albany.edu,us
University of Louisville,louisville.edu,us
Dalian University of Technology / 大连理工大学,dlut.edu.cn,cn
University of Southern Denmark / Syddansk Universitet,sdu.dk,dk
University of Tsukuba / 筑波大学,tsukuba.ac.jp,jp
Sorbonne Université,sorbonne-universite.fr,fr
Wake Forest University,wfu.edu,us
Loughborough University,lboro.ac.uk,uk
Christian Albrechts Universität zu Kiel,uni-kiel.de,de
London School of Hygiene & Tropical Medicine,lshtm.ac.uk,uk
Soochow University / 苏州大学,suda.edu.cn,cn
Beijing Institute of Technology / 北京理工大学,bit.edu.cn,cn
Technische Universität Darmstadt,tu-darmstadt.de,de
University of Tasmania,utas.edu.au,au
University of Strathclyde,strath.ac.uk,uk
University of Texas Arlington,uta.edu,us
University College Cork,ucc.ie,ie
University of Dundee,dundee.ac.uk,uk
University of Wisconsin Milwaukee,uwm.edu,us
Università degli Studi di Roma Tor Vergata,web.uniroma2.it,it
Concordia University Montréal,concordia.ca,ca
Universität Bremen,uni-bremen.de,de
Chongqing University / 重庆大学,cqu.edu.cn,cn
Université d’Aix Marseille / Aix Marseille Université,univ-amu.fr,fr
Universidad de Zaragoza,unizar.es,es
National Cheng Kung University,web.ncku.edu.tw,tw
National Tsing Hua University Taiwan / 國立清華大學,nthu.edu.tw,tw
La Trobe University,latrobe.edu.au,au
Open University UK,open.ac.uk,uk
University of South Australia,unisa.edu.au,au
University of Warsaw / Uniwersytet Warszawski,uw.edu.pl,pl
Universität Innsbruck,uibk.ac.at,at
University of Malaya,um.edu.my,my
Università degli Studi di Trento,unitn.it,it
University of Southampton,southampton.ac.uk,uk
Universidad de Buenos Aires,uba.ar,ar
Politecnico di Torino,polito.it,it
National Chiao Tung University,nctu.edu.tw,tw
Jagiellonian University / Uniwersytet Jagielloński,uj.edu.pl,pl
Baylor University,baylor.edu,us
Universität Ulm,uni-ulm.de,de
University of Kent,kent.ac.uk,uk
National Technical University of Athens,ntua.gr,gr
University of Antwerp / Universiteit Antwerpen,uantwerpen.be,be
Université de Bordeaux,u-bordeaux.fr,fr
Maastricht University / Universiteit Maastricht,maastrichtuniversity.nl,nl
Universidade Federal de Minas Gerais UFMG,ufmg.br,br
Southern Methodist University,smu.edu,us
University of Mississippi,olemiss.edu,us
Ruhr Universität Bochum,ruhr-uni-bochum.de,de
Ben Gurion University of the Negev,in.bgu.ac.il,il
Kent State University,kent.edu,us
Universität Hannover,uni-hannover.de,de
Hanyang University / 한양대학교,hanyang.ac.kr,kr
Lanzhou University / 兰州大学,lzu.edu.cn,cn
Northwestern Polytechnical University / 西北工业大学,nwpu.edu.cn,cn
Universität des Saarlandes,uni-saarland.de,de
Universidade Federal de Santa Catarina UFSC,ufsc.br,br
University of Arkansas Fayetteville,uark.edu,us
Flinders University,flinders.edu.au,au
Old Dominion University,odu.edu,us
Masaryk University in Brno / Masarykova Univerzita v Brně MU,muni.cz,cz
Università degli Studi di Pavia,web.unipv.it,it
University of Oulu / Oulun yliopisto,oulu.fi,fi
Kansas State University,k-state.edu,us
Rochester Institute of Technology,rit.edu,us
King Saud University,ksu.edu.sa,sa
University of Massachusetts Medical School at Worcester,umassmed.edu,us
University of the Witwatersrand,wits.ac.za,za
(1) University of Chinese Academy of Sciences / 中国科学院大学,ucas.ac.cn,cn
Universidade do Minho,uminho.pt,pt
(1) Sungkyunkwan University / 성균관대학교,skku.edu,kr
Università degli Studi di Milano Bicocca,unimib.it,it
University of Nevada Reno,unr.edu,us
University of Maryland Baltimore County,umbc.edu,us
Justus Liebig Universität Giessen,uni-giessen.de,de
University of Tehran,ut.ac.ir,ir
Stellenbosch University,sun.ac.za,za
Brandeis University,brandeis.edu,us
Université de Lorraine,univ-lorraine.fr,fr
Heinrich Heine Universität Düsseldorf,uni-duesseldorf.de,de
Czech Technical University in Prague / České vysoké učení technické v Praze ČVUT,cvut.cz,cz
Western Sydney University,westernsydney.edu.au,au
University of Tartu / Tartu Ülikool,ut.ee,ee
Mississippi State University,msstate.edu,us
Philipps Universität Marburg,uni-marburg.de,de
University of Canterbury,canterbury.ac.nz,nz
University of Texas San Antonio,utsa.edu,us
Memorial University of Newfoundland,mun.ca,ca
Jyväskylä University / Jyväskylän yliopisto,jyu.fi,fi
